host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.504944,11.741959,10.000873,10.001169,10.014861,9.999498,11.650904,10.833213,11.859655,10.391237
total_packets,2254,9643,3322,3331,5085,5116,3542,2280,8533,2266
min_delay,0.100236,0.100420,0.100380,0.100115,0.100156,0.100332,0.101587,0.100854,0.100126,0.100523
max_delay,0.947495,2.203460,0.400047,0.405226,0.418976,0.421352,4.443589,2.239664,3.357097,1.692562
avg_delay,0.493812,1.209560,0.116143,0.119170,0.133773,0.112443,2.513397,0.741911,1.785246,0.967988
avg_jitter,0.005187,0.001449,0.002202,0.002224,0.001603,0.001571,0.004983,0.004756,0.001656,0.005618
sd_delay,0.254924,0.594635,0.044226,0.046753,0.037993,0.034240,1.063041,0.477574,0.960224,0.430775
avg_bit_rate,1716.525095,6569.942886,2657.368012,2664.488521,4061.963516,4093.005469,2432.085957,1683.711010,5755.985313,1744.546872
avg_pkt_rate,214.565637,821.242861,332.171001,333.061065,507.745440,511.625684,304.010745,210.463876,719.498164,218.068359
