host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,119.998710,120.763285,119.998797,120.658995,120.002087,120.359899,119.985456,120.000993,120.001424,119.998587
total_packets,66177,54525,66109,53930,21061,54004,41708,53624,41651,53392
min_delay,0.000015,0.000010,0.000015,0.000010,0.000019,0.000011,0.000021,0.000009,0.000016,0.000010
max_delay,0.296568,0.027924,0.041082,0.027130,1.070653,0.038838,0.331539,0.038138,0.329708,0.013973
avg_delay,0.001689,0.000092,0.001681,0.000094,0.118148,0.000091,0.018488,0.000091,0.019885,0.000090
avg_jitter,0.001140,0.000068,0.001135,0.000069,0.008937,0.000068,0.004042,0.000068,0.003975,0.000067
sd_delay,0.003319,0.000300,0.003089,0.000274,0.195605,0.000242,0.013226,0.000291,0.016366,0.000182
avg_bit_rate,4411.846692,4402.975382,4407.319224,4402.237804,1404.071382,3614.408313,2780.874987,2778.604700,2776.794608,2777.577543
avg_pkt_rate,551.480837,550.371923,550.914903,550.279725,175.508923,451.801039,347.609373,347.325588,347.099326,347.197193
