host,host0,host1,host2,host3,host4
total_time,61.338622,61.027562,59.999505,62.434908,62.127086
total_packets,61555,61406,51203,38882,39081
min_delay,0.000046,0.00008,0.000016,0.000089,0.000162
max_delay,2.800877,2.383376,0.019097,4.290608,6.102765
avg_delay,0.904795,0.558593,0.000554,1.389387,1.843276
avg_jitter,0.00119,0.000972,0.000686,0.001798,0.001963
sd_delay,0.674689,0.455955,0.00065,1.093595,1.449581
avg_bit_rate,8028.220784,8049.608798,6827.12299,4982.084702,5032.394405
avg_pkt_rate,1003.527598,1006.2011,853.390374,622.760588,629.049301
