host,host0,host1,host2,host3,host4
total_time,119.999902,119.999898,119.999393,119.999441,119.999996
total_packets,121702,121693,102289,78700,78881
min_delay,0.000014,0.000014,0.000014,0.000014,0.000014
max_delay,0.020944,0.016563,0.018674,0.013484,0.012044
avg_delay,0.000536,0.000544,0.00058,0.000667,0.000573
avg_jitter,0.000572,0.000571,0.00067,0.000839,0.00083
sd_delay,0.000608,0.00058,0.000631,0.000731,0.000718
avg_bit_rate,8113.473293,8112.873563,6819.301161,5246.691108,5258.733509
avg_pkt_rate,1014.184162,1014.109195,852.412645,655.836388,657.341689
