host,host0,host1,host2,host3,host4
total_time,119.999729,120.000595,120.001419,119.998546,119.999338
total_packets,121316,121260,102326,79037,78969
min_delay,0.00001,0.000011,0.00001,0.00001,0.00001
max_delay,0.016675,0.010317,0.014192,0.011878,0.013045
avg_delay,0.000428,0.000477,0.000543,0.000634,0.000588
avg_jitter,0.00057,0.00057,0.00065,0.000828,0.000827
sd_delay,0.000511,0.000505,0.000575,0.000691,0.000694
avg_bit_rate,8087.751598,8083.959917,6821.652667,5269.197178,5264.629043
avg_pkt_rate,1010.96895,1010.49499,852.706583,658.649647,658.07863
