host,host0,host1,host2,host3,host4
total_time,60.002815,60.118518,59.998717,60.127838,60.000953
total_packets,62208,64634,64667,64777,62560
min_delay,0.000093,0.000028,0.000015,0.000023,0.000077
max_delay,0.216789,0.213768,0.013194,0.220803,0.218423
avg_delay,0.013804,0.023309,0.001112,0.021043,0.013247
avg_jitter,0.001456,0.001498,0.000480,0.001477,0.001440
sd_delay,0.020662,0.036141,0.001167,0.033766,0.020328
avg_bit_rate,8294.010873,8600.877354,8622.451043,8618.570320,8341.200847
avg_pkt_rate,1036.751359,1075.109669,1077.806380,1077.321290,1042.650106
