host,host0,host1,host2,host3,host4
total_time,60.037334,60.066445,60.065069,59.999377,60.000320
total_packets,62500,62773,62706,62602,62775
min_delay,0.000015,0.000014,0.000017,0.000032,0.000017
max_delay,0.137302,0.374141,0.127037,0.464803,0.517395
avg_delay,0.023200,0.030784,0.024418,0.039310,0.030924
avg_jitter,0.000698,0.000715,0.000657,0.000768,0.000713
sd_delay,0.030412,0.031978,0.028526,0.035278,0.040472
avg_bit_rate,8328.151280,8360.474804,8351.742674,8347.020003,8369.955360
avg_pkt_rate,1041.018910,1045.059351,1043.967834,1043.377500,1046.244420
