host,host0,host1,host2,host3,host4
total_time,121.167157,121.056093,120.001144,122.162755,121.848322
total_packets,121669,120032,102212,79115,78184
min_delay,0.000097,0.000034,0.000015,0.000024,0.000139
max_delay,4.449178,3.230461,0.024170,6.427542,6.429748
avg_delay,1.232246,0.919674,0.000560,2.295322,2.438526
avg_jitter,0.001203,0.001030,0.000694,0.001904,0.001970
sd_delay,0.749152,0.714462,0.000650,1.583825,1.327890
avg_bit_rate,8033.133929,7932.322746,6814.068373,5180.957158,5133.201588
avg_pkt_rate,1004.141741,991.540343,851.758547,647.619645,641.650199
