host,host0,host1,host2,host3,host4
total_time,119.999373,119.999343,119.999710,120.000187,119.998192
total_packets,120880,121016,101121,78096,77982
min_delay,0.000014,0.000014,0.000015,0.000016,0.000015
max_delay,0.022593,0.022837,0.019018,0.020820,0.015880
avg_delay,0.000561,0.000607,0.000575,0.000706,0.000606
avg_jitter,0.000577,0.000581,0.000685,0.000848,0.000845
sd_delay,0.000645,0.000686,0.000648,0.000809,0.000763
avg_bit_rate,8058.708773,8067.777504,6741.416292,5206.391887,5198.878330
avg_pkt_rate,1007.338597,1008.472188,842.677036,650.798986,649.859791
