host,host0,host1,host2,host3,host4
total_time,120.931024,121.459205,119.998586,120.752200,121.393907
total_packets,120230,121127,101756,77309,77138
min_delay,0.000092,0.000019,0.000015,0.000081,0.000117
max_delay,3.143738,2.699105,0.018920,6.608203,5.704076
avg_delay,1.190161,0.857092,0.000597,2.193855,2.309532
avg_jitter,0.001211,0.000989,0.000698,0.001859,0.001968
sd_delay,0.647125,0.562945,0.000691,1.474771,1.234780
avg_bit_rate,7953.624870,7978.119073,6783.813269,5121.828008,5083.484132
avg_pkt_rate,994.203109,997.264884,847.976659,640.228501,635.435517
