host,host0,host1,host2,host3,host4
total_time,60.014814,60.016038,59.999520,60.000809,59.999290
total_packets,70884,69668,72962,69560,70452
min_delay,0.000056,0.000021,0.000016,0.000027,0.000026
max_delay,0.213673,0.162572,0.044047,0.239867,0.231632
avg_delay,0.030212,0.039888,0.014846,0.054541,0.028540
avg_jitter,0.001227,0.001343,0.000551,0.001346,0.001232
sd_delay,0.018336,0.022367,0.008758,0.034375,0.017595
avg_bit_rate,9448.867075,9286.584363,9728.344493,9274.541615,9393.711159
avg_pkt_rate,1181.108384,1160.823045,1216.043062,1159.317702,1174.213895
