host,host0,host1,host2,host3,host4
total_time,60.027814,59.999907,59.999602,60.000441,59.996244
total_packets,72439,72543,71056,72376,72475
min_delay,0.000016,0.000017,0.000014,0.000015,0.000015
max_delay,0.239971,0.454196,0.522373,0.464921,0.368033
avg_delay,0.062095,0.080603,0.171496,0.083211,0.064693
avg_jitter,0.000828,0.001002,0.000711,0.001022,0.000865
sd_delay,0.041081,0.054611,0.139018,0.050507,0.039890
avg_bit_rate,9654.058034,9672.414992,9474.196179,9650.062405,9663.938296
avg_pkt_rate,1206.757254,1209.051874,1184.274522,1206.257801,1207.992287
