host,host0,host1,host2,host3,host4
total_time,119.999923,119.999045,119.999122,119.998518,119.997871
total_packets,122477,122844,102782,78789,78715
min_delay,0.000014,0.000015,0.000013,0.000015,0.000015
max_delay,0.030084,0.024253,0.022076,0.012387,0.011958
avg_delay,0.000493,0.001105,0.001166,0.000600,0.000562
avg_jitter,0.000579,0.000498,0.000579,0.000836,0.000835
sd_delay,0.000648,0.000938,0.000952,0.000729,0.000742
avg_bit_rate,8165.138573,8189.665176,6852.183468,5252.664870,5247.759771
avg_pkt_rate,1020.642322,1023.708147,856.522934,656.583109,655.969971
