host,host0,host1,host2,host3,host4
total_time,60.244247,60.115466,60.027768,59.999826,60.024069
total_packets,49997,61357,61068,61272,38630
min_delay,0.000017,0.000022,0.000039,0.000014,0.000570
max_delay,0.661129,0.397756,0.443926,0.014808,0.697759
avg_delay,0.324472,0.080369,0.093768,0.000570,0.350605
avg_jitter,0.001308,0.000755,0.000763,0.000605,0.002012
sd_delay,0.111494,0.081013,0.098638,0.000579,0.078636
avg_bit_rate,6639.239760,8165.219912,8138.633440,8169.623692,5148.601305
avg_pkt_rate,829.904970,1020.652489,1017.329180,1021.202961,643.575163
