host,host0,host1,host2,host3,host4
total_time,121.492898,121.454347,120.000052,121.510988,121.807892
total_packets,121742,122233,101789,77890,78499
min_delay,0.00014,0.000093,0.000017,0.000113,0.000147
max_delay,3.801112,3.2265,0.014466,9.323256,8.3395
avg_delay,1.244078,0.955645,0.000577,2.472344,2.726439
avg_jitter,0.001207,0.00103,0.000697,0.001927,0.002031
sd_delay,0.687294,0.660781,0.000658,1.846336,1.685685
avg_bit_rate,8016.402737,8051.288605,6785.930393,5128.095905,5155.593695
avg_pkt_rate,1002.050342,1006.411076,848.241299,641.011988,644.449212
