host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,120.194572,120.539189,120.003148,120.375421,120.001443,119.995948,119.996726,119.995237,119.997676,119.998958
total_packets,64471,61127,63888,60841,52634,60810,40905,52131,40880,52001
min_delay,0.000023,0.000009,0.000100,0.000009,0.000016,0.000009,0.000014,0.000009,0.000014,0.000008
max_delay,0.217839,0.024297,0.218736,0.022046,0.834803,0.014483,0.045243,0.012563,0.049671,0.011199
avg_delay,0.019371,0.000121,0.024084,0.000121,0.003342,0.000121,0.001003,0.000110,0.001006,0.000109
avg_jitter,0.003144,0.000107,0.003182,0.000107,0.001407,0.000108,0.001587,0.000094,0.001586,0.000093
sd_delay,0.014301,0.000294,0.026610,0.000296,0.024692,0.000280,0.001418,0.000268,0.001516,0.000282
avg_bit_rate,4291.108920,4056.904680,4259.088270,4043.416804,3508.891139,4054.136895,2727.074404,3475.537950,2725.386115,3466.763436
avg_pkt_rate,536.388615,507.113085,532.386034,505.427100,438.611392,506.767112,340.884300,434.442244,340.673264,433.345430
