host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,60.000328,60.998065,59.998688,61.000106,60.001416,60.955400,59.999771,60.201352,59.999964,60.198304
total_packets,57620,25822,53941,25659,40857,25905,40994,25859,31089,25440
min_delay,0.100157,0.100021,0.100109,0.100017,0.100247,0.100022,0.100330,0.100022,0.100200,0.100020
max_delay,0.286000,0.144071,0.287492,0.143185,0.279768,0.143244,0.275824,0.144117,0.286392,0.143349
avg_delay,0.102545,0.100712,0.102482,0.100747,0.102851,0.100722,0.102970,0.100740,0.103500,0.100744
avg_jitter,0.000777,0.000592,0.000820,0.000601,0.001032,0.000599,0.001049,0.000605,0.001345,0.000597
sd_delay,0.005360,0.002164,0.004983,0.002231,0.004901,0.002091,0.005516,0.002184,0.005976,0.002209
avg_bit_rate,7682.861683,4166.143193,7192.170972,4168.127962,5447.616797,3459.209013,5465.935355,2686.457445,4145.327952,2686.629380
avg_pkt_rate,960.357710,520.767899,899.021372,521.015995,680.952100,432.401127,683.241919,335.807181,518.165994,335.828673
