host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,10.002084,10.765333,9.999914,11.017255,10.000897,10.999691,10.000755,10.197050,9.999701,10.194499
total_packets,8671,4532,7938,4499,6269,4344,6516,4083,4986,3893
min_delay,0.100262,0.100030,0.100398,0.100033,0.100204,0.100029,0.100307,0.100028,0.100279,0.100031
max_delay,0.313415,0.143649,0.454244,0.143493,0.292770,0.143438,0.309130,0.143250,0.315325,0.142722
avg_delay,0.113761,0.103410,0.140255,0.103558,0.147153,0.103508,0.107791,0.103616,0.111234,0.103896
avg_jitter,0.001213,0.003596,0.001391,0.003830,0.001601,0.004039,0.001343,0.003992,0.001915,0.004185
sd_delay,0.025976,0.007319,0.053551,0.007379,0.058279,0.007289,0.023319,0.007417,0.024118,0.007758
avg_bit_rate,6937.290466,4180.113281,6350.499068,4163.493110,5015.497419,3457.632598,5213.059089,2675.893324,3988.877384,2688.774905
avg_pkt_rate,867.161308,522.514160,793.812383,520.436639,626.937177,432.204075,651.632386,334.486665,498.609673,336.096863
