host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,60.969998,60.794521,60.603178,61.236505,59.999071,61.274059,60.611098,60.495789,60.527801,60.496764
total_packets,18976,24624,25565,24480,30223,24847,21770,24324,17970,24895
min_delay,0.250466,0.250020,0.251060,0.250023,0.250170,0.250020,0.251356,0.250019,0.251360,0.250019
max_delay,4.114739,0.368906,3.818510,0.372896,2.680020,0.366962,4.221731,0.370120,4.009841,0.371554
avg_delay,1.580280,0.254774,1.252523,0.254745,0.600968,0.255018,1.190348,0.254923,1.290085,0.255023
avg_jitter,0.005683,0.004947,0.003914,0.005034,0.002741,0.005262,0.004644,0.005162,0.005409,0.005187
sd_delay,0.916198,0.011769,0.793795,0.011839,0.514367,0.012316,0.774208,0.012281,0.736109,0.012327
avg_bit_rate,2534.304343,4141.381857,3413.471559,4137.316397,4033.227896,3422.049335,2905.391005,2688.224375,2400.701957,2687.915273
avg_pkt_rate,316.788043,517.672732,426.683945,517.164550,504.153487,427.756167,363.173876,336.028047,300.087745,335.989409
