host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,59.999559,60.991672,59.999784,61.005275,60.001032,60.843104,59.999880,60.198293,59.998458,60.201545
total_packets,57070,25671,53324,26066,41224,25919,41078,25746,31211,25680
min_delay,0.100171,0.100024,0.100143,0.100024,0.100071,0.100027,0.100201,0.100022,0.100272,0.100024
max_delay,0.289281,0.144034,0.295877,0.144525,0.289127,0.144484,0.274373,0.143371,0.283971,0.144335
avg_delay,0.102521,0.100657,0.102367,0.100633,0.102603,0.100604,0.102883,0.100607,0.103432,0.100609
avg_jitter,0.000800,0.000519,0.000831,0.000504,0.001031,0.000488,0.001058,0.000488,0.001350,0.000497
sd_delay,0.005486,0.002320,0.006419,0.002224,0.005021,0.002178,0.005598,0.002088,0.005869,0.002129
avg_bit_rate,7609.528177,4183.979564,7109.881123,4186.367907,5496.596544,3473.151585,5477.104276,2690.487082,4161.578682,2687.248505
avg_pkt_rate,951.191022,522.997446,888.735140,523.295988,687.074568,434.143948,684.638035,336.310885,520.197335,335.906063
