host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.952726,10.000179,10.812940,10.000649,10.761292,10.001468,11.544009,10.001089,10.000179,9.999721
total_packets,5522,3954,4447,3159,3575,3978,1405,3165,3175,3182
min_delay,0.200766,0.200155,0.200226,0.200130,0.201488,0.200125,0.210905,0.200661,0.200186,0.200340
max_delay,1.206359,0.882417,3.480006,0.875731,2.500358,0.894938,4.187013,0.879552,0.874384,0.876375
avg_delay,0.685800,0.232463,1.949978,0.236240,0.870070,0.245568,2.674115,0.245819,0.230338,0.242761
avg_jitter,0.001965,0.002206,0.003057,0.002670,0.004188,0.002188,0.012124,0.002709,0.002609,0.002805
sd_delay,0.265618,0.094984,0.979623,0.095120,0.528576,0.106844,0.883050,0.098238,0.088644,0.099777
avg_bit_rate,4033.333802,3163.143380,3290.132009,2527.035995,2657.673447,3181.932892,973.665215,2531.724295,2539.954535,2545.671024
avg_pkt_rate,504.166725,395.392922,411.266501,315.879499,332.209181,397.741612,121.708152,316.465537,317.494317,318.208878
