host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.859010,10.001331,10.822708,10.000996,10.764771,9.998001,11.609755,10.003136,10.000372,10.002741
total_packets,5473,3940,4478,3146,3565,3913,1452,3162,3148,3167
min_delay,0.200102,0.200371,0.200651,0.200652,0.200546,0.200172,0.205690,0.200143,0.200168,0.200172
max_delay,1.129095,0.885469,3.291338,0.880190,2.475701,0.890300,4.384971,0.877276,0.876576,0.875897
avg_delay,0.714563,0.231323,1.928236,0.237131,0.896926,0.249483,2.680125,0.247746,0.232786,0.235592
avg_jitter,0.002070,0.002228,0.003003,0.002686,0.004260,0.002266,0.011861,0.002715,0.002664,0.002672
sd_delay,0.236640,0.092079,0.960261,0.096606,0.519706,0.107091,0.871186,0.101774,0.092623,0.090957
avg_bit_rate,4032.043437,3151.580525,3310.077293,2516.549352,2649.382881,3131.025892,1000.537910,2528.806966,2518.306319,2532.905731
avg_pkt_rate,504.005430,393.947566,413.759662,314.568669,331.172860,391.378237,125.067239,316.100871,314.788290,316.613216
