host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,119.998712,120.725955,119.999141,120.851580,119.999567,120.768607,119.995422,119.999044,119.995551,119.996178
total_packets,65244,53879,65086,53614,53821,53552,41415,53412,41381,52080
min_delay,0.000012,0.000007,0.000013,0.000008,0.000012,0.000008,0.000013,0.000008,0.000013,0.000008
max_delay,0.034544,0.008087,0.063871,0.007504,0.041814,0.011223,0.064054,0.009033,0.020145,0.008960
avg_delay,0.000765,0.000105,0.000777,0.000101,0.000872,0.000103,0.000979,0.000104,0.000971,0.000105
avg_jitter,0.001063,0.000089,0.001067,0.000085,0.001261,0.000087,0.001561,0.000089,0.001551,0.000086
sd_delay,0.000977,0.000223,0.001062,0.000194,0.001182,0.000222,0.001377,0.000221,0.001323,0.000248
avg_bit_rate,4349.646686,3570.334151,4339.097727,3549.080616,3588.079614,3547.411953,2761.105336,3560.828368,2758.835617,3472.110587
avg_pkt_rate,543.705836,446.291769,542.387216,443.635077,448.509952,443.426494,345.138167,445.103546,344.854452,434.013823
