host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,10.002384,10.862644,10.000395,10.961551,9.995736,10.559410,9.988616,10.196385,9.999633,10.191659
total_packets,5148,4394,5193,4542,4250,4494,3353,4229,3368,4070
min_delay,0.100134,0.100022,0.100513,0.100018,0.100204,0.100021,0.100587,0.100021,0.100199,0.100024
max_delay,0.417196,0.113014,0.428130,0.112756,0.396759,0.114907,0.388233,0.114961,0.382611,0.113533
avg_delay,0.106930,0.100285,0.107433,0.100286,0.107143,0.100267,0.108213,0.100273,0.110744,0.100272
avg_jitter,0.001481,0.000193,0.001460,0.000207,0.001713,0.000201,0.002136,0.000208,0.002056,0.000185
sd_delay,0.027127,0.000599,0.028439,0.000621,0.026470,0.000532,0.027557,0.000611,0.033981,0.000523
avg_bit_rate,4118.454775,4265.971993,4154.602745,4251.912195,3402.097046,3490.961696,2683.556913,2736.004651,2695.617551,2740.541257
avg_pkt_rate,514.806847,533.246499,519.325343,531.489024,425.262131,436.370212,335.444614,342.000581,336.952194,342.567657
