host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,9.999446,10.760009,9.997786,11.010611,9.998915,10.969635,9.997391,10.196841,9.998552,10.184573
total_packets,4976,4450,4989,4738,4128,3971,3304,4166,3304,3800
min_delay,0.100088,0.100026,0.100328,0.100024,0.100173,0.100022,0.100453,0.100021,0.100281,0.100023
max_delay,0.416843,0.115345,0.426811,0.114395,0.394753,0.115811,0.402371,0.115028,0.417815,0.115675
avg_delay,0.107583,0.100372,0.107986,0.100360,0.107168,0.100372,0.112481,0.100418,0.112642,0.100388
avg_jitter,0.001526,0.000226,0.001524,0.000206,0.001767,0.000219,0.002180,0.000251,0.002175,0.000221
sd_delay,0.027862,0.000822,0.029518,0.000735,0.026581,0.000763,0.037704,0.001044,0.039383,0.000930
avg_bit_rate,3981.915766,4119.539450,3992.883052,4111.456144,3303.596101,3394.982919,2643.791681,2680.761873,2643.956700,2672.630206
avg_pkt_rate,497.739471,514.942431,499.110381,513.932018,412.949513,424.372865,330.473960,335.095234,330.494588,334.078776
