host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,60.980855,60.998896,60.341192,61.052158,60.001104,61.280371,59.640581,60.503059,60.466985,60.497822
total_packets,17901,25581,13147,25261,39467,24512,15190,25014,9083,25555
min_delay,0.250822,0.250023,0.250112,0.250022,0.250234,0.250021,0.250986,0.250022,0.250647,0.250021
max_delay,2.572263,0.255047,3.973816,0.265386,0.729263,0.257043,3.164372,0.256118,6.832024,0.253124
avg_delay,1.139439,0.250327,1.254467,0.250327,0.252682,0.250332,1.153754,0.250326,1.509134,0.250318
avg_jitter,0.006041,0.000156,0.008372,0.000155,0.001063,0.000160,0.006642,0.000154,0.011790,0.000150
sd_delay,0.408331,0.000185,0.602709,0.000284,0.013330,0.000190,0.560019,0.000185,1.051210,0.000174
avg_bit_rate,2398.590890,4106.807598,1762.144428,4107.752092,5262.305783,3405.642514,2121.304407,2678.783640,1234.401971,2681.437239
avg_pkt_rate,299.823861,513.350950,220.268054,513.469012,657.788223,425.705314,265.163051,334.847955,154.300246,335.179655
