host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,60.557200,60.853399,60.970153,61.155704,60.000479,61.304372,60.818515,60.494232,60.028446,60.497264
total_packets,13750,25123,15227,25959,39993,25830,10729,24720,13237,25562
min_delay,0.250091,0.250027,0.250129,0.250022,0.250118,0.250025,0.250490,0.250025,0.250270,0.250023
max_delay,2.933386,0.253556,3.024005,0.252839,0.732223,0.268461,9.476628,0.257414,2.510726,0.252031
avg_delay,1.116902,0.250269,1.181446,0.250266,0.252657,0.250284,1.826980,0.250275,1.103424,0.250266
avg_jitter,0.008021,0.000142,0.007073,0.000143,0.001079,0.000144,0.010204,0.000147,0.007675,0.000141
sd_delay,0.407305,0.000172,0.454825,0.000165,0.013654,0.000476,1.508051,0.000210,0.408223,0.000163
avg_bit_rate,1841.979862,4160.440426,2047.756302,4157.899375,5332.544512,3441.747731,1462.825087,2692.221414,1769.232023,2691.944913
avg_pkt_rate,230.247483,520.055053,255.969538,519.737422,666.568064,430.218466,182.853136,336.527677,221.154003,336.493114
