host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,60.382406,60.700377,60.623481,61.209811,60.001148,61.172788,61.282087,60.501787,60.077430,60.496584
total_packets,14790,25663,11330,26129,39667,25324,17058,24910,12451,24347
min_delay,0.250268,0.250021,0.250844,0.250018,0.250158,0.250019,0.250542,0.250024,0.250410,0.250025
max_delay,3.092741,0.273034,2.738544,0.255564,0.731775,0.279617,2.678343,0.272804,3.152235,0.267067
avg_delay,1.219084,0.250329,1.182942,0.250312,0.252677,0.250329,1.094939,0.250312,1.197694,0.250320
avg_jitter,0.007385,0.000163,0.009813,0.000156,0.001063,0.000164,0.006028,0.000159,0.008245,0.000160
sd_delay,0.444761,0.000459,0.481040,0.000183,0.013382,0.000567,0.486322,0.000228,0.415431,0.000246
avg_bit_rate,2015.318361,4122.197571,1517.082065,4125.767921,5289.046872,3412.942491,2288.205862,2678.168194,1678.830772,2679.079482
avg_pkt_rate,251.914795,515.274696,189.635258,515.720990,661.130859,426.617811,286.025733,334.771024,209.853847,334.884935
