host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,60.001131,61.000382,60.193387,60.655648,60.001196,60.199696,59.750058,59.747226,59.377933,59.403311
total_packets,53373,26206,47231,26111,41465,25891,38800,25800,30100,25450
min_delay,0.100239,0.100021,0.100196,0.100021,0.100137,0.100021,0.100144,0.100021,0.100288,0.100020
max_delay,1.142439,0.114672,0.766699,0.135464,0.280347,0.115543,0.654400,0.117911,0.749137,0.118309
avg_delay,0.215442,0.100252,0.269548,0.100262,0.102318,0.100250,0.215744,0.100249,0.167836,0.100260
avg_jitter,0.001496,0.000125,0.001681,0.000125,0.000993,0.000125,0.002016,0.000120,0.002549,0.000126
sd_delay,0.101658,0.000243,0.133758,0.000580,0.004666,0.000274,0.104149,0.000312,0.089601,0.000382
avg_bit_rate,7118.994913,4207.308759,6301.759486,4201.497408,5528.685280,3482.485553,5203.693580,2713.518133,4056.946856,2709.043501
avg_pkt_rate,889.874364,525.913595,787.719936,525.187176,691.085660,435.310694,650.461697,339.189767,507.118357,338.630438
