host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
119.998499,119.998591,119.998264,120.000784,119.998768,46.217357,119.999007,119.998123,119.996373,119.998582
71893,49362,68573,38712,49155,18900,38108,38677,38634,38688
0.000015,0.000015,0.000013,0.000017,0.000016,0.000017,0.000016,0.000016,0.000015,0.000016
0.064212,0.028211,7.348861,0.022504,0.029285,0.032583,1.996551,0.019957,0.020506,0.020872
0.000877,0.000857,0.001011,0.001219,0.001073,0.001157,0.002355,0.001247,0.001166,0.001280
0.000994,0.001304,0.001319,0.001655,0.001367,0.001365,0.001724,0.001608,0.001605,0.001630
0.001464,0.001183,0.037113,0.001557,0.001349,0.001314,0.042192,0.001579,0.001547,0.001585
4792.926618,3290.838640,4571.599469,2580.783139,3277.033644,3271.498195,2540.554356,2578.506999,2575.677850,2579.230478
599.115827,411.354830,571.449934,322.597892,409.629206,408.937274,317.569295,322.313375,321.959731,322.403810
