host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,120.004153,120.820777,120.000903,120.985397,119.998199,120.949979,120.101945,120.193116,120.019788,120.199671
total_packets,65124,54600,63974,53898,54445,54884,41758,53866,41892,54383
min_delay,0.100039,0.100014,0.100278,0.100015,0.100079,0.100014,0.100180,0.100015,0.100057,0.100014
max_delay,0.742778,0.113943,0.737292,0.112528,0.269488,0.115503,0.712689,0.113480,0.568593,0.114609
avg_delay,0.186936,0.100169,0.249896,0.100158,0.103217,0.100168,0.210565,0.100165,0.205674,0.100162
avg_jitter,0.002514,0.000113,0.002543,0.000110,0.001460,0.000112,0.004208,0.000112,0.004169,0.000110
sd_delay,0.093896,0.000293,0.122522,0.000234,0.003905,0.000311,0.087483,0.000310,0.084014,0.000284
avg_bit_rate,4341.639979,4430.150950,4265.443330,4432.196307,3629.788415,3638.360166,2783.884623,2807.761902,2793.008861,2806.562639
avg_pkt_rate,542.704997,553.768869,533.180416,554.024538,453.723552,454.795021,347.985578,350.970238,349.126108,350.820330
