host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,12.206620,12.608707,12.018779,10.002947,12.241411,9.999989,11.435561,10.144593,10.582789,10.001837
total_packets,4097,2527,4421,3103,3787,3967,1824,3098,1188,3104
min_delay,0.200186,0.200313,0.200092,0.200207,0.200140,0.200450,0.205403,0.200294,0.202882,0.200120
max_delay,2.935012,3.121104,3.694767,0.554820,3.494937,0.568096,3.867327,0.561543,3.493091,0.562064
avg_delay,1.673264,1.743286,1.522627,0.207425,1.281659,0.206223,1.654848,0.263541,1.689218,0.207508
avg_jitter,0.003234,0.005829,0.003184,0.002506,0.003367,0.002068,0.008249,0.002624,0.013456,0.002519
sd_delay,0.767220,0.801052,0.950482,0.032467,0.898166,0.030512,0.980894,0.059414,0.866427,0.033233
avg_bit_rate,2685.100380,1603.336488,2942.728209,2481.668652,2474.878100,3173.603491,1276.019602,2443.074848,898.061938,2482.743920
avg_pkt_rate,335.637547,200.417061,367.841026,310.208582,309.359763,396.700436,159.502450,305.384356,112.257742,310.342990
