host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
120.000602,119.997402,119.999907,119.997276,39.995134,120.000649,119.995635,119.999314,120.001477,119.997483
64017,45154,70454,35719,15150,45216,34293,35776,35703,35762
0.000012,0.000016,0.000013,0.000017,0.000018,0.000015,0.000016,0.000017,0.000016,0.000014
0.036460,0.044011,0.050532,0.027109,0.040536,0.037394,3.082874,0.034456,0.033242,0.033043
0.001085,0.001137,0.001032,0.001818,0.002834,0.001818,0.002958,0.001825,0.001283,0.001280
0.001202,0.001536,0.001117,0.001855,0.001676,0.001620,0.002197,0.001858,0.001865,0.001861
0.001925,0.001816,0.001909,0.002068,0.002606,0.002190,0.053387,0.002058,0.001807,0.001872
4267.778590,3010.331840,4696.936973,2381.320723,3030.368644,3014.383697,2286.283164,2385.080301,2380.170704,2384.183342
533.472324,376.291480,587.117122,297.665090,378.796081,376.797962,285.785395,298.135038,297.521338,298.022918
