host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
102.494635,48.106701,119.998877,120.001106,119.996661,120.002412,119.993523,119.992579,119.998659,120.001593
54300,18050,69735,35456,35227,45243,35215,35586,35570,34078
0.000015,0.000014,0.000014,0.000014,0.000016,0.000015,0.000016,0.000015,0.000015,0.000016
0.059376,0.024911,0.960622,0.106149,27.002574,0.101710,0.933621,0.038311,0.039519,4.075425
0.001245,0.001200,0.001185,0.002173,0.003256,0.002235,0.002362,0.002193,0.001264,0.002064
0.001267,0.001595,0.001174,0.001933,0.003233,0.001683,0.002014,0.001932,0.001875,0.002177
0.002450,0.001820,0.005645,0.002288,0.143875,0.002440,0.005487,0.002258,0.001913,0.050586
4238.270618,3001.660829,4649.043507,2363.711548,2348.532015,3016.139376,2347.793389,2372.546722,2371.359833,2271.836508
529.783827,375.207604,581.130438,295.463943,293.566502,377.017422,293.474174,296.568340,296.419979,283.979564
