host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
119.998770,119.996700,119.998173,119.999085,119.998175,120.000106,119.994540,119.998643,120.001162,119.999241
63684,44546,70620,35159,45488,45524,35795,35728,35569,35653
0.000013,0.000016,0.000013,0.000018,0.000017,0.000016,0.000014,0.000017,0.000015,0.000015
1.361322,1.361903,1.360955,0.060425,0.059043,0.059716,0.060569,0.059101,0.924929,0.035278
0.001100,0.001222,0.001148,0.002834,0.002906,0.002908,0.002955,0.002801,0.001413,0.001276
0.001255,0.001625,0.001174,0.001929,0.001642,0.001635,0.001927,0.001924,0.001936,0.001855
0.005684,0.006746,0.007520,0.002590,0.002679,0.002674,0.002642,0.002533,0.007266,0.001847
4245.643518,2969.815003,4708.071680,2343.951206,3032.579454,3034.930652,2386.441916,2381.893602,2371.243705,2376.881700
530.705440,371.226875,588.508960,292.993901,379.072432,379.366332,298.305240,297.736700,296.405463,297.110213
