host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,119.999698,120.879472,120.199388,120.778271,120.001376,120.808046,119.997617,119.991205,120.007126,120.000901
total_packets,119924,55699,112418,55844,19709,55440,90986,55405,67016,54981
min_delay,0.000023,0.000009,0.000028,0.000009,0.000015,0.000009,0.000023,0.000009,0.000026,0.000009
max_delay,0.213126,0.009496,0.210335,0.066556,1.030682,0.031709,0.215268,0.009399,0.217988,0.003837
avg_delay,0.015009,0.000106,0.013201,0.000108,0.143551,0.000105,0.014974,0.000105,0.032310,0.000105
avg_jitter,0.001686,0.000096,0.001806,0.000099,0.010607,0.000097,0.002208,0.000098,0.003045,0.000097
sd_delay,0.028303,0.000243,0.019521,0.000396,0.277606,0.000280,0.016433,0.000241,0.031226,0.000238
avg_bit_rate,7995.080725,4554.802126,7494.554880,4554.826456,1313.935129,3716.455710,6066.233162,2837.076171,4467.776410,2836.355599
avg_pkt_rate,999.385091,569.350266,936.819360,569.353307,164.241891,464.556964,758.279145,354.634521,558.472051,354.544450
