host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,30.110526,30.118827,30.002054,29.999005,29.999927,30.047877,29.998820,30.003528,72.742352,30.016750
total_packets,6282,32500,10179,9783,15133,14207,29660,6765,61700,6785
min_delay,0.100304,0.100940,0.100128,0.100149,0.100136,0.100155,0.100197,0.100255,0.100198,0.100113
max_delay,2.483327,0.544439,0.262078,0.260780,0.278166,2.701408,0.324851,0.245630,0.775999,0.236604
avg_delay,0.128068,0.230106,0.104654,0.104898,0.103364,0.176533,0.107131,0.107406,0.240097,0.107293
avg_jitter,0.003660,0.001100,0.001887,0.002172,0.001514,0.001789,0.000918,0.002965,0.001175,0.002963
sd_delay,0.067131,0.085077,0.008003,0.008101,0.007364,0.331592,0.021346,0.008763,0.092249,0.008498
avg_bit_rate,1669.050883,8632.474299,2714.214167,2608.886528,4035.476486,3782.496847,7909.644446,1803.787875,6785.593075,1808.323686
avg_pkt_rate,208.631360,1079.059287,339.276771,326.110816,504.434561,472.812106,988.705556,225.473484,848.199134,226.040461
