host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.002366,10.359299,10.001904,9.998051,10.001068,9.998509,10.010624,10.001199,10.273347,10.014990
total_packets,2263,9852,3238,3260,4949,5013,9599,2262,9965,2271
min_delay,0.100208,0.100209,0.100141,0.100247,0.100276,0.100169,0.100290,0.100074,0.100146,0.100170
max_delay,0.244442,0.500593,0.261733,0.261735,0.275958,0.276125,0.323997,0.244938,0.539119,0.245188
avg_delay,0.109444,0.176779,0.105868,0.105776,0.104014,0.103927,0.118604,0.110517,0.204887,0.110919
avg_jitter,0.002934,0.001166,0.002196,0.002155,0.001561,0.001550,0.000985,0.002936,0.001232,0.002920
sd_delay,0.013913,0.054514,0.013908,0.013608,0.012720,0.012438,0.041869,0.015167,0.094789,0.015390
avg_bit_rate,1809.971761,7608.236812,2589.906882,2608.508398,3958.777203,4010.998040,7671.050276,1809.383055,7759.885848,1814.080693
avg_pkt_rate,226.246470,951.029602,323.738360,326.063550,494.847150,501.374755,958.881285,226.172882,969.985731,226.760087
