host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.001185,10.169038,9.997509,9.999341,10.000763,10.001016,9.998576,10.002407,10.144727,10.002983
total_packets,2263,9690,3261,3273,5063,5072,9584,2277,9958,2266
min_delay,0.100335,0.100227,0.100211,0.100115,0.100130,0.100221,0.100200,0.100188,0.100502,0.100195
max_delay,0.238247,0.916580,0.261801,0.261761,0.273847,0.275792,1.002665,0.242367,0.906234,0.237934
avg_delay,0.108181,0.272396,0.105769,0.105743,0.103846,0.103872,0.256787,0.110203,0.264278,0.111190
avg_jitter,0.002958,0.001355,0.002145,0.002163,0.001489,0.001478,0.001224,0.002887,0.001296,0.002935
sd_delay,0.013721,0.162123,0.013887,0.013565,0.012196,0.012583,0.224384,0.014709,0.127553,0.015263
avg_bit_rate,1810.185493,7623.139967,2609.450014,2618.572564,4050.090978,4057.187790,7668.291965,1821.161646,7852.749512,1812.259403
avg_pkt_rate,226.273187,952.892496,326.181252,327.321570,506.261372,507.148474,958.536496,227.645206,981.593689,226.532425
