host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,9.999197,10.082391,10.005498,10.000822,10.000945,10.000323,9.999948,10.004218,10.010504,10.002872
total_packets,2202,9050,3154,3155,4840,4858,9433,2231,9202,2236
min_delay,0.100210,0.100181,0.100202,0.100100,0.100197,0.100120,0.100180,0.100446,0.100202,0.100150
max_delay,0.231735,0.737963,0.263345,0.262241,0.275980,0.275549,1.024074,0.241789,0.549448,0.246543
avg_delay,0.108400,0.259388,0.106100,0.106000,0.104060,0.104020,0.236081,0.108318,0.219386,0.108463
avg_jitter,0.003124,0.001424,0.002370,0.002331,0.001638,0.001621,0.001185,0.003037,0.001296,0.003029
sd_delay,0.012917,0.139493,0.014000,0.013703,0.012399,0.012472,0.235647,0.013344,0.079184,0.014369
avg_bit_rate,1761.741468,7180.836371,2521.813507,2523.792544,3871.634131,3886.274473,7546.439241,1784.047489,7353.875489,1788.286404
avg_pkt_rate,220.217683,897.604546,315.226688,315.474068,483.954266,485.784309,943.304905,223.005936,919.234436,223.535801
