host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.004104,10.377690,10.001228,10.000665,10.001314,10.000204,10.067629,10.007432,55.730673,10.028791
total_packets,2253,10500,3360,3286,5096,5137,9730,2280,30900,2286
min_delay,0.100102,0.100215,0.100180,0.100142,0.100069,0.100115,0.100120,0.100132,0.100251,0.100105
max_delay,0.239795,0.561114,0.263015,0.262542,0.275345,0.274698,0.320724,0.245485,0.632869,0.245072
avg_delay,0.108325,0.237508,0.105629,0.105666,0.103817,0.103764,0.115922,0.110930,0.207309,0.115704
avg_jitter,0.002917,0.001198,0.001965,0.002137,0.001467,0.001446,0.000934,0.002902,0.001190,0.002880
sd_delay,0.013666,0.095069,0.013458,0.013568,0.012261,0.012406,0.033600,0.015195,0.088054,0.017129
avg_bit_rate,1801.660598,8094.286879,2687.669954,2628.625196,4076.264379,4109.516166,7731.711210,1822.645410,4435.618425,1823.549818
avg_pkt_rate,225.207575,1011.785860,335.958744,328.578150,509.533047,513.689521,966.463901,227.830676,554.452303,227.943727
