host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.169382,10.164578,10.066752,10.119836,10.001836,10.206402,10.000168,10.001659,10.228873,9.998933
total_packets,2290,10436,3338,3070,5231,5229,10569,2125,10402,2320
min_delay,0.100564,0.100854,0.100134,0.100274,0.100162,0.100070,0.100224,0.101095,0.100157,0.104273
max_delay,0.321926,0.432538,0.261893,1.804838,0.276137,0.389747,0.288769,1.487509,0.569109,0.528731
avg_delay,0.183786,0.280288,0.139947,0.477064,0.104731,0.206768,0.117382,0.384016,0.351484,0.272976
avg_jitter,0.003357,0.001084,0.002188,0.003272,0.001384,0.001335,0.000767,0.004848,0.001126,0.003379
sd_delay,0.063875,0.083976,0.035893,0.396367,0.012438,0.076878,0.017702,0.279145,0.095759,0.106494
avg_bit_rate,1801.486069,8213.621854,2652.692745,2426.916800,4184.031812,4098.603994,8455.057955,1699.718017,8135.402600,1856.198056
avg_pkt_rate,225.185759,1026.702732,331.586593,303.364600,523.003976,512.325499,1056.882244,212.464752,1016.925325,232.024757
