host,host0,host1,host3,host4,host6,host7,host9,host10,host12,host13
total_time,10.003271,10.137555,10.052634,10.198017,9.996087,10.000383,10.000526,10.001885,10.283837,9.998217
total_packets,2249,9759,3263,3178,5001,5013,9770,2197,9800,2251
min_delay,0.100136,0.101059,0.100309,0.100167,0.100158,0.100854,0.100124,0.100359,0.101068,0.101068
max_delay,0.278986,0.399308,0.261715,1.172359,0.275793,0.278214,0.288871,0.983243,0.477615,0.362925
avg_delay,0.142170,0.211599,0.128000,0.349742,0.104084,0.108212,0.103799,0.283564,0.304630,0.190329
avg_jitter,0.003389,0.001142,0.002302,0.002653,0.001563,0.001516,0.000930,0.003600,0.001175,0.003449
sd_delay,0.034133,0.061638,0.029174,0.210333,0.012437,0.014218,0.011078,0.153458,0.085806,0.069460
avg_bit_rate,1798.611674,7701.265246,2596.732359,2493.033695,4002.366126,4010.246408,7815.588900,1757.268755,7623.613638,1801.121140
avg_pkt_rate,224.826459,962.658156,324.591545,311.629212,500.295766,501.280801,976.948613,219.658594,952.951705,225.140142
