host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,119.997308,120.782012,120.009885,120.876201,120.005802,120.333814,120.001398,120.007822,119.995953,119.997491
total_packets,66644,54858,66867,54594,54819,54174,42060,54508,42084,53745
min_delay,0.000014,0.000009,0.000012,0.000009,0.000014,0.000009,0.000016,0.000009,0.000015,0.000009
max_delay,0.036429,0.014002,0.026764,0.011713,0.045587,0.013624,0.100398,0.011704,0.114719,0.011382
avg_delay,0.001603,0.000116,0.001597,0.000118,0.004431,0.000116,0.025105,0.000119,0.026825,0.000118
avg_jitter,0.001021,0.000099,0.001015,0.000101,0.001107,0.000099,0.001564,0.000103,0.001566,0.000102
sd_delay,0.002518,0.000360,0.002479,0.000356,0.006849,0.000360,0.020022,0.000382,0.023215,0.000392
avg_bit_rate,4443.033005,3633.521190,4457.432819,3613.217460,3654.423309,3601.581181,2803.967334,3633.629815,2805.694622,3583.074916
avg_pkt_rate,555.379126,454.190149,557.179102,451.652183,456.802914,450.197648,350.495917,454.203727,350.711828,447.884365
