20,4
0,0,20,2.88394
1,0,21,8.9867
2,0,22,0
3,0,23,0
4,1,20,6.70661
5,1,21,3.46139
6,2,20,6.77393
7,2,21,0
8,2,23,8.69407
9,3,22,9.95328
10,3,23,4.80722
11,4,21,7.13421
12,4,22,0
13,4,23,2.00718
14,5,22,0
15,5,23,12.9796
16,6,20,0.0449379
17,6,21,0
18,6,22,9.46053
19,6,23,4.59094
20,7,20,1.52895
21,7,21,5.2438
22,7,23,8.69255
23,8,20,0
24,8,22,7.46005
25,8,23,3.60305
26,9,20,4.467
27,9,22,9.1159
28,10,20,0
29,10,21,0.0428154
30,10,22,13.3878
31,10,23,0
32,11,20,0
33,11,21,0.0374403
34,11,22,7.88209
35,11,23,3.82497
36,12,20,0
37,12,21,0
38,12,22,8.13697
39,12,23,0
40,13,20,0
41,13,21,0.0300751
42,13,22,9.40405
43,13,23,0
44,14,20,1.17551
45,14,21,4.03163
46,14,23,6.68316
47,15,20,0
48,15,21,10.2901
49,15,23,2.89508
50,16,21,5.59456
51,16,22,0
52,16,23,7.37044
53,17,20,10.7603
54,17,22,0
55,18,20,5.61832
56,18,21,0
57,18,23,7.21088
58,19,21,5.1236
59,19,23,6.6629
60,20,24,39.9595
61,21,25,49.9763
62,22,26,74.8007
63,23,27,80.022
64,24,0,0.0449379
65,24,1,2.88394
66,24,2,0
67,24,6,4.467
68,24,7,6.70661
69,24,8,12.3923
70,24,9,0
71,24,10,0
72,24,11,2.70446
73,24,12,0
74,24,13,0
75,24,14,10.7603
76,24,15,0
77,24,17,0
78,24,18,0
79,25,0,0
80,25,1,8.9867
81,25,2,0
82,25,4,0.0374403
83,25,6,0
84,25,7,9.05595
85,25,10,0
86,25,11,9.27543
87,25,12,0
88,25,13,0
89,25,14,5.1236
90,25,15,0
91,25,16,10.363
92,25,18,7.13421
93,25,19,0
94,26,0,9.46053
95,26,3,0
96,26,4,25.2954
97,26,5,0
98,26,6,9.1159
99,26,8,0
100,26,9,0
101,26,10,0
102,26,11,0
103,26,12,0
104,26,13,0
105,26,16,22.7918
106,26,17,8.13697
107,27,0,4.59094
108,27,2,12.9796
109,27,3,0
110,27,4,12.2352
111,27,5,0
112,27,6,0
113,27,7,7.37044
114,27,8,15.9049
115,27,10,0
116,27,11,15.3757
117,27,12,0
118,27,13,0
119,27,14,6.6629
120,27,15,0
121,27,16,2.89508
122,27,18,2.00718
123,27,19,0
