host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,9.996781,10.952470,10.001208,11.002006,9.997962,10.940103,10.001457,10.188366,10.002001,10.192031
total_packets,5011,4458,5006,4464,4172,4270,3264,3969,3270,4286
min_delay,0.100247,0.100024,0.100266,0.100023,0.100124,0.100023,0.100166,0.100022,0.100070,0.100019
max_delay,0.276669,0.113287,0.274106,0.103311,0.271105,0.112382,0.262806,0.102186,0.263218,0.115054
avg_delay,0.103824,0.100251,0.103805,0.100237,0.104531,0.100242,0.105751,0.100241,0.105716,0.100279
avg_jitter,0.001420,0.000122,0.001434,0.000116,0.001688,0.000121,0.002081,0.000120,0.002064,0.000131
sd_delay,0.012408,0.000447,0.012275,0.000154,0.013141,0.000293,0.013983,0.000145,0.013781,0.000687
avg_bit_rate,4010.597722,4163.396929,4005.124816,4197.404846,3339.125258,3456.072923,2611.542896,2701.500499,2616.302706,2695.457955
avg_pkt_rate,501.324715,520.424616,500.640602,524.675606,417.390657,432.009115,326.442862,337.687562,327.037838,336.932244
