host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,10.000209,10.740455,10.000210,11.221399,10.002174,11.293059,10.269494,10.495674,10.601993,10.490116
total_packets,3766,4075,2970,3969,3058,3950,1257,3782,762,3869
min_delay,0.250256,0.250029,0.250199,0.250034,0.250509,0.250038,0.250295,0.250030,0.250271,0.250034
max_delay,0.905535,0.877255,2.591783,0.254920,0.969607,0.838079,2.952405,0.251778,2.315588,0.251592
avg_delay,0.358174,0.274884,0.573016,0.250311,0.311512,0.256522,1.114121,0.250307,1.021479,0.250310
avg_jitter,0.003423,0.000962,0.004654,0.000162,0.003716,0.000458,0.013023,0.000159,0.024526,0.000153
sd_delay,0.181305,0.108778,0.693602,0.000225,0.162239,0.059237,0.647449,0.000183,0.428302,0.000176
avg_bit_rate,3013.135965,3880.734623,2376.438691,3888.863777,2446.515231,3220.032522,1109.887805,2519.651018,630.478368,2513.784763
avg_pkt_rate,376.641996,485.091828,297.054836,486.107972,305.814404,402.504065,138.735976,314.956377,78.809796,314.223095
