host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,10.006648,10.915006,10.422708,11.172730,10.002259,11.267806,10.172638,10.496693,10.106382,10.507339
total_packets,3258,3945,3834,4663,3679,4376,1192,4152,920,3950
min_delay,0.250383,0.250032,0.250616,0.250033,0.250084,0.250034,0.250855,0.250033,0.250191,0.250033
max_delay,1.992215,0.255537,1.368417,0.255624,0.720206,0.252029,1.181501,0.253094,1.565111,0.252265
avg_delay,0.538183,0.250351,0.522434,0.250351,0.257399,0.250343,0.634379,0.250333,0.865042,0.250331
avg_jitter,0.004451,0.000190,0.003399,0.000190,0.002361,0.000184,0.013371,0.000181,0.017836,0.000179
sd_delay,0.450341,0.000260,0.263986,0.000267,0.040973,0.000238,0.199784,0.000244,0.307641,0.000234
avg_bit_rate,2614.507195,4120.381135,3106.834957,4137.288200,2943.315378,3352.117659,984.498294,2667.104916,770.681280,2669.919856
avg_pkt_rate,326.813399,515.047642,388.354370,517.161025,367.914422,419.014707,123.062287,333.388114,96.335160,333.739982
