host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,120.001746,120.776494,120.000041,120.348565,119.999333,119.990616,119.994980,119.999495,119.974199,119.998434
total_packets,119790,62172,110581,61927,89426,62605,86732,55082,66651,54945
min_delay,0.000015,0.000010,0.000042,0.000010,0.000013,0.000010,0.000017,0.000010,0.000039,0.000010
max_delay,0.209192,0.011737,0.206378,0.011886,0.031765,0.009506,0.220744,0.008558,0.225481,0.014177
avg_delay,0.016162,0.000123,0.010597,0.000126,0.000706,0.000125,0.018208,0.000388,0.021886,0.000393
avg_jitter,0.001732,0.000105,0.001820,0.000105,0.000827,0.000107,0.002349,0.000495,0.003132,0.000499
sd_delay,0.016835,0.000323,0.006744,0.000348,0.001108,0.000325,0.027285,0.000594,0.017013,0.000609
avg_bit_rate,7985.883805,4118.152329,7372.064148,4116.509407,5961.766471,4173.993073,5782.375229,3672.148787,4444.355573,3663.047803
avg_pkt_rate,998.235476,514.769041,921.508018,514.563676,745.220809,521.749134,722.796904,459.018598,555.544447,457.880975
