host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,10.584599,10.723313,10.020326,11.073275,9.999546,10.901823,10.989610,10.193936,9.994206,10.196016
total_packets,9282,4479,8274,4439,6424,4139,6381,4041,4434,4016
min_delay,0.101053,0.100027,0.101359,0.100027,0.100181,0.100029,0.101243,0.100025,0.100698,0.100028
max_delay,0.747573,0.175031,1.417687,0.174501,0.423927,0.174554,1.232756,0.175155,1.910589,0.174928
avg_delay,0.215285,0.102984,0.451798,0.103293,0.106421,0.103461,0.361736,0.103480,0.630666,0.103400
avg_jitter,0.001154,0.004398,0.001711,0.004861,0.001144,0.005161,0.001783,0.005204,0.003280,0.005124
sd_delay,0.168163,0.009670,0.223065,0.010548,0.026149,0.010811,0.352429,0.010482,0.460982,0.010597
avg_bit_rate,7458.136986,4107.374153,6619.495891,4116.279495,5140.195841,3385.177109,5175.835593,2683.719031,3547.844643,2688.112901
avg_pkt_rate,932.267123,513.421769,827.436986,514.534937,642.524480,423.147139,646.979449,335.464879,443.480580,336.014113
