host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,9.244903,10.970640,13.390104,11.170609,10.925806,10.869773,11.553964,10.498934,11.033778,10.496048
total_packets,5352,4342,2187,4174,5935,4248,1660,4094,890,4071
min_delay,0.250132,0.250027,0.250381,0.250026,0.250288,0.250030,0.251311,0.250029,0.252182,0.250028
max_delay,2.832310,0.444471,9.202267,0.439577,1.295152,0.453797,3.922091,0.457401,3.027744,0.455706
avg_delay,1.411287,0.252718,4.759265,0.253677,0.697971,0.252790,2.513660,0.253269,1.804986,0.253494
avg_jitter,0.002737,0.003008,0.008684,0.003879,0.002654,0.003546,0.011495,0.003794,0.022074,0.003735
sd_delay,0.705909,0.012978,3.032311,0.015964,0.291527,0.013431,0.696633,0.015140,0.566894,0.016056
avg_bit_rate,6364.116463,4120.278119,3060.401129,4143.608974,4815.033658,3436.921323,1443.471112,2680.282234,786.656352,2681.002148
avg_pkt_rate,795.514558,515.034765,382.550141,517.951122,601.879207,429.615165,180.433889,335.035279,98.332044,335.125268
