host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,120.194093,120.897690,119.996470,120.907382,115.738763,115.951166,120.189449,120.368977,120.197279,119.995573
total_packets,64990,53310,64887,53221,17650,59650,41261,52922,41173,52726
min_delay,0.000041,0.000010,0.000028,0.000010,0.000018,0.000009,0.000049,0.000010,0.000028,0.000010
max_delay,0.280161,0.059461,0.279333,0.321912,0.839710,0.011224,0.372078,0.050381,0.411794,0.064792
avg_delay,0.020728,0.000104,0.020263,0.000599,0.142821,0.000085,0.037695,0.000103,0.033790,0.000105
avg_jitter,0.003088,0.000083,0.003166,0.000087,0.010530,0.000051,0.004969,0.000080,0.004927,0.000083
sd_delay,0.019924,0.000414,0.013849,0.012018,0.211825,0.000154,0.021697,0.000509,0.017670,0.000476
avg_bit_rate,4332.706203,4331.359069,4326.536144,4328.327768,1222.771867,3617.776654,2750.788601,2743.911255,2744.935656,2744.239311
avg_pkt_rate,541.588275,541.419884,540.817018,541.040971,152.846483,452.222082,343.848575,342.988907,343.116957,343.029914
