host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,9.999500,10.910242,9.999273,11.181646,10.000179,10.967034,9.997004,10.193857,10.001649,10.201228
total_packets,4976,4517,5054,4420,4173,4332,3255,4146,3281,3926
min_delay,0.100481,0.100023,0.100118,0.100021,0.100364,0.100023,0.100361,0.100024,0.100461,0.100023
max_delay,0.275032,0.107568,0.278693,0.107663,0.268624,0.107927,0.255048,0.106850,0.260683,0.106908
avg_delay,0.104038,0.100293,0.104187,0.100289,0.104428,0.100282,0.105577,0.100276,0.105506,0.100271
avg_jitter,0.001578,0.000210,0.001527,0.000216,0.001782,0.000208,0.002266,0.000213,0.002189,0.000199
sd_delay,0.012677,0.000418,0.013002,0.000429,0.012339,0.000342,0.012623,0.000345,0.012998,0.000314
avg_bit_rate,3983.163971,4182.822465,4043.342730,4173.550404,3339.010705,3398.135886,2605.292140,2676.530221,2625.032578,2689.070252
avg_pkt_rate,497.895496,522.852808,505.417841,521.693801,417.376338,424.766986,325.661517,334.566278,328.129072,336.133781
