host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,9.859723,10.983804,10.001775,10.987435,10.000742,11.236383,10.001200,10.496848,10.043249,10.488879
total_packets,3845,4302,3778,4271,3648,4349,2274,4002,747,3929
min_delay,0.250081,0.250026,0.250470,0.250022,0.250126,0.250017,0.250476,0.250015,0.250763,0.250027
max_delay,3.379740,0.406800,2.008632,0.405093,0.742173,0.401772,1.974264,0.407122,2.686327,0.405981
avg_delay,1.261495,0.253672,0.695684,0.254159,0.261690,0.253963,0.694560,0.254299,1.201875,0.254279
avg_jitter,0.004416,0.004346,0.004191,0.004632,0.002481,0.005035,0.006948,0.004792,0.025121,0.004961
sd_delay,0.852395,0.016437,0.494727,0.018073,0.044398,0.017791,0.482352,0.018391,0.638862,0.018343
avg_bit_rate,3412.907196,4193.106935,3022.443523,4193.953970,2918.871106,3462.961692,1819.422879,2705.520751,641.541735,2707.874802
avg_pkt_rate,426.613400,524.138367,377.805440,524.244246,364.858888,432.870212,227.427860,338.190094,80.192717,338.484350
