host,host0,host1,host2,host3,host4,host5,host6,host7,host8,host9
total_time,61.027913,60.934675,60.129238,61.086460,60.517500,61.017155,60.845431,60.206793,59.998243,60.241333
total_packets,36568,47478,53401,47083,32667,47240,27821,46397,33323,46899
min_delay,0.100949,0.100015,0.100035,0.100014,0.100047,0.100013,0.100551,0.100014,0.100182,0.100013
max_delay,4.291585,0.576804,2.589758,0.577486,4.295239,0.577228,2.539137,0.577270,2.919078,0.583817
avg_delay,1.372280,0.159889,0.450364,0.160317,1.744517,0.161323,0.863390,0.160880,1.161236,0.161842
avg_jitter,0.002612,0.063515,0.001382,0.064037,0.003024,0.064427,0.003292,0.065522,0.002515,0.065620
sd_delay,0.741206,0.067816,0.419878,0.068046,0.803270,0.068640,0.509659,0.067557,0.814741,0.068458
avg_bit_rate,4913.366826,7399.085781,7125.366466,7355.493759,4358.936966,6335.704962,3742.120647,5207.289999,4443.113171,5216.968689
avg_pkt_rate,614.170853,924.885723,890.670808,919.436720,544.867121,791.963120,467.765081,650.911250,555.389146,652.121086
